0,1,2
구  분,개념,고려사항
지속가능한  도시개발,"사회적,  경제적,  환경적  지속성",
전원도시,"도시와  농촌  간의  장점만을  통합한  저밀도 
경관도시","인구과밀로  인해  야기되는 
다양한  문제들  해소"
"녹색도시
(과거)","도시  생활에서의  자연과의  조화를  위해  도시  내 
조경과  경관조성","건축  설계  차원에서  조경  및 
경관요소"
에코폴리스,"생태계보호와  인간성  회복의  원리를  바탕으로 
바람길을  이용한  도시경관과  자연환경을  배려한 
도시","바람흐름,  대기오염, 
도시열섬효과,  건축물 
층수제한,  통풍길  확보"
어메니티시티,"인간이  도시에서  개성있는  생명체로서  생존과 
생활을  영위","자연,  역사,  문화,  심미성, 
편리성"
생태도시,"지속가능성,  토지활용,  생태적  활동,  생물다양성",
뉴어바니즘,"도시의  무분별한  확산에  의한  도시문제를 
해결하기  위한  이론
거주성이  높은  도시를  조성하고  주민참여에  의한 
도시계획을  추구하고  환경을  연계","복합용도의  근린지역을 
대중교통으로  연결"
어반  빌리지,"기존의  전통적인  개발패턴의  폐해를  방지하고 
새로운  도시개발의  방향을  모색하고자  하는  이론
쾌적하고  인간적인  스케일의  도시환경을  계획","다양한  용도의  혼합,  대중교통 
시스템의  통합,  공공공간의 
체계화,  좋은  지역시설  제공
경제적,  환경적,  사회적  지속성"
압축도시,"통행발생량과  에너지  낭비를  줄이고  토지를 
집약적으로  이용
도시  중심부에  초고층  빌딩을  밀집시켜  별도의 
교통수단  없이도  주변  편의시설을  이용할  수 
있도록  고안된  도시개발방식",
스마트성장,"지역  사회는  경제  성장과  직장을  창출하고 
주민들에게  쾌적한  환경을  제공하는  건강한 
지역공동체
도심활성화를  위해  외곽지역의  개발을  규제하고 
혁신적인  도시설계와  대중교통위주의  교통정책을 
통하여  지속가능한  도시를  조성","경제,  지역공동체,  환경"
저탄소  녹색도시,"저탄소녹색도시는  교통분야에서는  친환경수단을 
이용하여  이산화탄소의  배출량을  최대한 
줄이고자하는  것이  저탄소녹색도시가  지향하는 
목표","에너지·IT  등  지식기반과 
융합된  산업을  발전"
